price,year_cleaned,is_signed,is_dated,is_numbered,is_titled,is_recto,is_verso,signed_pencil,signed_paint,signed_ink,is_embossed_or_stamped,is_certificate,is_examined,is_excellent,is_very_good,is_good,is_fair_or_poor,has_damages,has_restoration_or_retouching,has_uv_analysis,unexamined,has_frame_wear,period_Contemporary,period_Modern,period_Post-War,movement_Abstract Expressionism,movement_Art Brut,movement_Art Deco,movement_Art Nouveau,movement_Baroque,movement_Conceptual ,movement_Cubism,movement_Environmental Art,movement_Expressionism,movement_Feminist Art ,movement_Geometric Abstraction,movement_Impressionism,movement_Magic Realism ,movement_Minimalism,movement_Modernism,movement_Neo-Expressionism,movement_Neogeo,movement_Nouveau Réalisme,movement_Organic/Biomorphic Abstraction,movement_Performance Art,movement_Photorealism,movement_Pop Art,movement_Post-Impressionism,movement_Post-Minimalism,movement_Punk,"movement_Punk, Young British Artists, Abstract",movement_Realism,movement_Romanticism,movement_Social Realism,movement_Street Art,movement_Surrealism,movement_Traditional,artist_grouped_Rare
28500.0,2021.0,1,0,0,0,0,1,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3000.0,1925.0,1,0,0,1,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5000.0,2016.0,1,1,0,1,0,1,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5000.0,2010.0,1,1,0,1,0,0,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2500.0,2001.0,1,0,0,0,0,1,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7575.0,1977.0,1,0,1,0,1,0,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7550.0,2007.0,1,0,1,0,1,0,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3550.0,1993.0,1,0,1,0,1,0,0,0,0,0,0,True,0,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3075.0,2014.0,1,0,1,0,1,0,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3550.0,1993.0,1,0,1,0,1,0,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
